Entreprise,Profil,Experience,Niveau_Etude,Technologie,Salaire
Tata Consultancy Services Maroc,DevOps Engineer,7,Master,Ansible,10000
Cisco Maroc,Data Scientist / IA,5,Master,TensorFlow,15000
Cisco Maroc,Ingénieur Réseau,6,Ingénieur,Fortinet,12000
IBM Maroc,Développeur Mobile,7,Ingénieur,Ionic,19000
SAP Maroc,Architecte Solutions,5,Master,API,18000
Microsoft Maroc,Développeur Mobile,10,Master,Android Studio,17000
Orange Business Services Maroc,Business Intelligence,1,Master,SQL Server,8000
Microsoft Maroc,Développeur Mobile,13,Bac+3,Swift,15000
Deloitte Digital Maroc,Ingénieur Cybersécurité,3,Doctorat,SIEM,22000
Huawei Maroc,Ingénieur Réseau,7,Ingénieur,Cisco,12000
HP Maroc,Cloud Engineer,1,Master,Azure,12000
EY Digital Maroc,Ingénieur Réseau,4,Master,CCNA,12000
CGI Maroc,Chef de Projet IT,11,Ingénieur,MS Project,17000
Huawei Maroc,Data Scientist / IA,10,Ingénieur,PyTorch,20000
Sopra Steria Maroc,Ingénieur Réseau,0,Bac+3,Cisco,7000
HP Maroc,DevOps Engineer,13,Ingénieur,AWS,18000
Huawei Maroc,Ingénieur Cybersécurité,8,Ingénieur,ISO 27001,15000
CGI Maroc,Chef de Projet IT,1,Bac+3,Prince2,7000
EY Digital Maroc,Cloud Engineer,14,Master,Terraform,20000
Sopra Steria Maroc,Cloud Engineer,11,Ingénieur,Azure,18000
Atos Maroc,DevOps Engineer,10,Master,Kubernetes,14000
Cisco Maroc,Business Intelligence,4,Ingénieur,Talend,12000
PWC Digital Maroc,Cloud Engineer,9,Ingénieur,OpenStack,20000
Capgemini Maroc,Data Scientist / IA,9,Ingénieur,Spark,21000
Accenture Maroc,Chef de Projet IT,7,Ingénieur,MS Project,18000
SAP Maroc,Développeur Mobile,5,Master,Kotlin,15000
Sopra Steria Maroc,Développeur Full Stack,3,Bac+2,.NET Core,6000
Lenovo Maroc,Développeur Full Stack,15,Master,Python Django,15000
SAP Maroc,Ingénieur Cybersécurité,12,Bac+3,Ethical Hacking,15000
CGI Maroc,Ingénieur Cybersécurité,2,Master,ISO 27001,12000
Accenture Maroc,Data Scientist / IA,3,Bac+3,R,11000
Lenovo Maroc,Développeur Full Stack,2,Ingénieur,.NET Core,12000
Oracle Maroc,Ingénieur Réseau,3,Bac+3,SD-WAN,9000
Atos Maroc,Développeur Mobile,11,Master,Ionic,13000
Oracle Maroc,Ingénieur Cybersécurité,0,Master,CISSP,17000
Dell Technologies Maroc,Ingénieur Cybersécurité,13,Ingénieur,ISO 27001,20000
IBM Maroc,Ingénieur Cybersécurité,10,Ingénieur,Ethical Hacking,29000
Atos Maroc,Ingénieur Cybersécurité,0,Bac+3,SIEM,9000
Tata Consultancy Services Maroc,Cloud Engineer,10,Bac+3,Terraform,9000
SAP Maroc,DevOps Engineer,5,Ingénieur,Jenkins,21000
HP Maroc,Ingénieur Réseau,5,Master,Fortinet,8000
Capgemini Maroc,Développeur Mobile,14,Master,Ionic,14000
CGI Maroc,Chef de Projet IT,9,Doctorat,Kanban,15000
EY Digital Maroc,Data Scientist / IA,1,Bac+2,Python,8000
Orange Business Services Maroc,Chef de Projet IT,3,Master,MS Project,9000
KPMG Technology Maroc,Chef de Projet IT,9,Bac+3,Agile,11000
Dell Technologies Maroc,Ingénieur Cybersécurité,7,Ingénieur,ISO 27001,20000
Accenture Maroc,Cloud Engineer,10,Doctorat,Azure,22000
Accenture Maroc,Business Intelligence,0,Bac+3,SAP BO,9000
Microsoft Maroc,Data Scientist / IA,1,Master,TensorFlow,20000
CGI Maroc,Chef de Projet IT,6,Master,Scrum,13000
Cisco Maroc,Data Scientist / IA,8,Master,Scikit-learn,16000
Accenture Maroc,Cloud Engineer,10,Ingénieur,OpenStack,22000
CGI Maroc,Développeur Full Stack,5,Master,Vue.js,13000
EY Digital Maroc,Data Scientist / IA,0,Bac+2,Tableau,6000
Sopra Steria Maroc,Ingénieur Réseau,5,Bac+3,SD-WAN,6000
Huawei Maroc,DevOps Engineer,3,Ingénieur,Jenkins,13000
Accenture Maroc,Architecte Solutions,4,Bac+3,SOA,12000
Sopra Steria Maroc,Business Intelligence,3,Ingénieur,Talend,14000
Atos Maroc,Data Scientist / IA,4,Master,PyTorch,14000
SAP Maroc,Architecte Solutions,2,Master,System Design,19000
Dell Technologies Maroc,Chef de Projet IT,8,Master,MS Project,12000
KPMG Technology Maroc,Développeur Mobile,10,Doctorat,Swift,16000
Orange Business Services Maroc,Cloud Engineer,1,Bac+3,AWS,8000
Oracle Maroc,Cloud Engineer,1,Ingénieur,Kubernetes,20000
CGI Maroc,Ingénieur Réseau,14,Ingénieur,Fortinet,13000
Orange Business Services Maroc,Data Scientist / IA,4,Master,TensorFlow,12000
Cisco Maroc,Développeur Mobile,15,Ingénieur,Xamarin,16000
Lenovo Maroc,Cloud Engineer,1,Bac+2,Terraform,5000
Oracle Maroc,Data Scientist / IA,3,Master,Python,20000
Dell Technologies Maroc,Ingénieur Réseau,2,Ingénieur,Cisco,11000
SAP Maroc,Architecte Solutions,2,Bac+2,Enterprise Architecture,8000
CGI Maroc,Business Intelligence,6,Master,Tableau,10000
Orange Business Services Maroc,Ingénieur Réseau,5,Bac+3,Cisco,7000
Oracle Maroc,Data Scientist / IA,1,Bac+2,Tableau,9000
Accenture Maroc,Architecte Solutions,4,Bac+2,Microservices,8000
Lenovo Maroc,Ingénieur Cybersécurité,2,Bac+2,Firewall,5000
EY Digital Maroc,Business Intelligence,12,Ingénieur,SQL Server,19000
Microsoft Maroc,Développeur Mobile,1,Bac+3,Kotlin,11000
Sopra Steria Maroc,Architecte Solutions,8,Ingénieur,System Design,18000
KPMG Technology Maroc,Ingénieur Réseau,2,Bac+3,CCNP,7000
PWC Digital Maroc,DevOps Engineer,10,Ingénieur,GitLab CI/CD,22000
CGI Maroc,Ingénieur Réseau,7,Master,Fortinet,10000
Orange Business Services Maroc,Cloud Engineer,2,Master,AWS,12000
Cisco Maroc,Développeur Full Stack,12,Ingénieur,.NET Core,19000
HP Maroc,Ingénieur Cybersécurité,1,Bac+3,ISO 27001,9000
Sopra Steria Maroc,DevOps Engineer,7,Master,AWS,15000
Microsoft Maroc,Ingénieur Cybersécurité,2,Ingénieur,Pentest,23000
EY Digital Maroc,Développeur Full Stack,9,Doctorat,Java Spring,19000
Dell Technologies Maroc,Ingénieur Réseau,5,Master,Cisco,9000
Tata Consultancy Services Maroc,DevOps Engineer,3,Bac+2,Terraform,5000
Oracle Maroc,Développeur Mobile,9,Bac+3,Flutter,12000
Oracle Maroc,Data Scientist / IA,12,Doctorat,PyTorch,34000
Orange Business Services Maroc,Architecte Solutions,2,Bac+3,API,8000
Huawei Maroc,Ingénieur Réseau,8,Ingénieur,Fortinet,13000
Tata Consultancy Services Maroc,Développeur Mobile,1,Bac+3,Xamarin,6000
Oracle Maroc,Ingénieur Cybersécurité,10,Doctorat,Firewall,32000
EY Digital Maroc,Développeur Full Stack,2,Ingénieur,Java Spring,15000
EY Digital Maroc,Data Scientist / IA,14,Master,Python,20000
Atos Maroc,Ingénieur Cybersécurité,8,Ingénieur,Pentest,19000
Atos Maroc,Ingénieur Réseau,1,Bac+3,Cisco,6000
IBM Maroc,Développeur Full Stack,3,Ingénieur,Angular,21000
Deloitte Digital Maroc,Business Intelligence,7,Master,SQL Server,15000
EY Digital Maroc,DevOps Engineer,0,Ingénieur,Docker,14000
Atos Maroc,Cloud Engineer,14,Master,OpenStack,15000
Accenture Maroc,Chef de Projet IT,14,Master,PMI,21000
Capgemini Maroc,Business Intelligence,14,Ingénieur,SQL Server,16000
IBM Maroc,Développeur Mobile,1,Bac+3,Android Studio,9000
KPMG Technology Maroc,Cloud Engineer,9,Master,AWS,16000
KPMG Technology Maroc,Ingénieur Réseau,2,Bac+2,Cisco,5000
Tata Consultancy Services Maroc,Ingénieur Réseau,0,Bac+3,Palo Alto,5000
Accenture Maroc,Ingénieur Réseau,12,Ingénieur,CCNP,18000
Cisco Maroc,Data Scientist / IA,9,Master,Scikit-learn,16000
Lenovo Maroc,Développeur Full Stack,3,Master,.NET Core,10000
Sopra Steria Maroc,Ingénieur Cybersécurité,10,Bac+3,Pentest,11000
KPMG Technology Maroc,Business Intelligence,14,Ingénieur,Talend,18000
PWC Digital Maroc,Business Intelligence,15,Ingénieur,Tableau,20000
Accenture Maroc,Business Intelligence,13,Bac+3,Oracle BI,13000
EY Digital Maroc,Architecte Solutions,3,Bac+3,API,12000
Dell Technologies Maroc,Ingénieur Cybersécurité,0,Ingénieur,Firewall,14000
Oracle Maroc,Architecte Solutions,0,Bac+2,UML,8000
Atos Maroc,Cloud Engineer,4,Ingénieur,Kubernetes,15000
Huawei Maroc,Data Scientist / IA,5,Master,R,15000
IBM Maroc,Data Scientist / IA,4,Ingénieur,Tableau,24000
CGI Maroc,Business Intelligence,3,Master,SQL Server,9000
Cisco Maroc,Business Intelligence,3,Bac+2,QlikView,6000
Sopra Steria Maroc,Ingénieur Réseau,15,Bac+3,SD-WAN,10000
SAP Maroc,Cloud Engineer,13,Ingénieur,Terraform,24000
SAP Maroc,Ingénieur Réseau,9,Master,CCNP,15000
Accenture Maroc,DevOps Engineer,7,Ingénieur,AWS,20000
CGI Maroc,Développeur Full Stack,5,Bac+3,Python Django,9000
Oracle Maroc,Chef de Projet IT,11,Master,Kanban,18000
Sopra Steria Maroc,DevOps Engineer,0,Ingénieur,Ansible,13000
CGI Maroc,Ingénieur Réseau,4,Ingénieur,Juniper,11000
Tata Consultancy Services Maroc,Ingénieur Réseau,3,Master,CCNA,7000
Cisco Maroc,Data Scientist / IA,3,Bac+2,Tableau,7000
Dell Technologies Maroc,DevOps Engineer,10,Master,Ansible,14000
Capgemini Maroc,Développeur Full Stack,5,Ingénieur,Java Spring,18000
HP Maroc,Cloud Engineer,9,Ingénieur,Docker,17000
Huawei Maroc,Business Intelligence,12,Master,SQL Server,12000
PWC Digital Maroc,Architecte Solutions,4,Bac+2,Enterprise Architecture,9000
CGI Maroc,Chef de Projet IT,10,Master,Prince2,12000
Accenture Maroc,Développeur Mobile,15,Doctorat,Swift,22000
SAP Maroc,DevOps Engineer,1,Ingénieur,AWS,20000
Tata Consultancy Services Maroc,Business Intelligence,10,Master,Power BI,11000
SAP Maroc,Cloud Engineer,12,Master,AWS,22000
EY Digital Maroc,DevOps Engineer,1,Master,Ansible,14000
CGI Maroc,Chef de Projet IT,1,Ingénieur,PMI,12000
IBM Maroc,Ingénieur Réseau,2,Master,Fortinet,13000
Microsoft Maroc,Développeur Mobile,8,Master,Xamarin,19000
Huawei Maroc,Développeur Mobile,6,Ingénieur,React Native,12000
EY Digital Maroc,Architecte Solutions,14,Ingénieur,API,23000
Orange Business Services Maroc,Chef de Projet IT,0,Ingénieur,Scrum,10000
Dell Technologies Maroc,Développeur Mobile,7,Master,Ionic,12000
Accenture Maroc,Ingénieur Réseau,1,Bac+3,Cisco,7000
Cisco Maroc,DevOps Engineer,8,Ingénieur,Kubernetes,17000
Accenture Maroc,Ingénieur Cybersécurité,10,Ingénieur,Firewall,27000
Orange Business Services Maroc,Développeur Full Stack,1,Master,React,11000
PWC Digital Maroc,DevOps Engineer,0,Master,Kubernetes,12000
CGI Maroc,Cloud Engineer,3,Master,Google Cloud,11000
Sopra Steria Maroc,Cloud Engineer,15,Ingénieur,Kubernetes,21000
Huawei Maroc,Ingénieur Cybersécurité,3,Master,CISSP,12000
Orange Business Services Maroc,Développeur Full Stack,1,Bac+3,React,7000
Microsoft Maroc,Data Scientist / IA,4,Master,Spark,21000
KPMG Technology Maroc,Architecte Solutions,0,Master,Enterprise Architecture,15000
Sopra Steria Maroc,Data Scientist / IA,7,Master,PyTorch,16000
Oracle Maroc,DevOps Engineer,10,Bac+3,GitLab CI/CD,15000
PWC Digital Maroc,Cloud Engineer,10,Master,Terraform,20000
PWC Digital Maroc,Architecte Solutions,0,Ingénieur,System Design,16000
Dell Technologies Maroc,Cloud Engineer,11,Master,OpenStack,15000
Sopra Steria Maroc,Chef de Projet IT,5,Ingénieur,MS Project,14000
Capgemini Maroc,Développeur Full Stack,8,Ingénieur,Python Django,18000
Accenture Maroc,Chef de Projet IT,0,Ingénieur,Prince2,15000
SAP Maroc,Cloud Engineer,4,Ingénieur,Terraform,19000
SAP Maroc,Développeur Mobile,12,Ingénieur,React Native,18000
Sopra Steria Maroc,Développeur Full Stack,13,Ingénieur,Vue.js,18000
Lenovo Maroc,Architecte Solutions,0,Bac+3,Cloud Architecture,7000
Orange Business Services Maroc,Business Intelligence,15,Ingénieur,SAP BO,16000
Huawei Maroc,Ingénieur Cybersécurité,0,Ingénieur,ISO 27001,13000
Huawei Maroc,Architecte Solutions,7,Master,System Design,14000
Tata Consultancy Services Maroc,Développeur Full Stack,13,Doctorat,Angular,16000
Deloitte Digital Maroc,Data Scientist / IA,12,Bac+3,PyTorch,15000
Capgemini Maroc,Chef de Projet IT,10,Ingénieur,Scrum,20000
Atos Maroc,Chef de Projet IT,4,Master,Prince2,11000
CGI Maroc,Business Intelligence,0,Bac+2,Tableau,5000
Deloitte Digital Maroc,Ingénieur Réseau,11,Ingénieur,CCNA,16000
Cisco Maroc,Développeur Full Stack,7,Ingénieur,Angular,15000
Lenovo Maroc,Architecte Solutions,7,Ingénieur,Microservices,17000
Capgemini Maroc,Data Scientist / IA,4,Master,Python,17000
Tata Consultancy Services Maroc,Architecte Solutions,10,Ingénieur,Enterprise Architecture,16000
Atos Maroc,Développeur Mobile,11,Ingénieur,Swift,15000
Tata Consultancy Services Maroc,Architecte Solutions,6,Ingénieur,Microservices,12000
HP Maroc,Développeur Full Stack,2,Master,Vue.js,11000
Sopra Steria Maroc,Ingénieur Cybersécurité,7,Master,SIEM,14000
IBM Maroc,Business Intelligence,1,Master,Power BI,14000
Sopra Steria Maroc,Architecte Solutions,3,Master,UML,15000
Oracle Maroc,Ingénieur Réseau,0,Master,CCNP,13000
Deloitte Digital Maroc,Chef de Projet IT,8,Ingénieur,Scrum,20000
Oracle Maroc,Data Scientist / IA,6,Ingénieur,Scikit-learn,25000
Tata Consultancy Services Maroc,DevOps Engineer,2,Ingénieur,GitLab CI/CD,12000
Oracle Maroc,Business Intelligence,10,Ingénieur,Talend,22000
Atos Maroc,Chef de Projet IT,8,Master,Prince2,12000
CGI Maroc,Ingénieur Cybersécurité,14,Ingénieur,Pentest,21000
IBM Maroc,Développeur Mobile,7,Ingénieur,Ionic,18000
Huawei Maroc,Développeur Full Stack,4,Master,React,12000
Dell Technologies Maroc,Cloud Engineer,8,Doctorat,Docker,18000
Sopra Steria Maroc,Cloud Engineer,0,Bac+3,OpenStack,8000
KPMG Technology Maroc,DevOps Engineer,10,Master,Terraform,17000
SAP Maroc,Développeur Full Stack,15,Ingénieur,.NET Core,29000
Atos Maroc,Chef de Projet IT,2,Bac+3,Kanban,8000
Lenovo Maroc,DevOps Engineer,13,Ingénieur,Jenkins,17000
KPMG Technology Maroc,Architecte Solutions,1,Bac+3,API,11000
Accenture Maroc,Ingénieur Cybersécurité,14,Master,Firewall,21000
Cisco Maroc,Ingénieur Cybersécurité,2,Bac+2,Firewall,7000
Oracle Maroc,Développeur Full Stack,2,Master,.NET Core,18000
Tata Consultancy Services Maroc,Cloud Engineer,6,Bac+3,Docker,7000
HP Maroc,Ingénieur Cybersécurité,5,Master,SIEM,13000
CGI Maroc,DevOps Engineer,13,Master,Jenkins,14000
Tata Consultancy Services Maroc,Chef de Projet IT,4,Bac+3,JIRA,7000
Tata Consultancy Services Maroc,Architecte Solutions,0,Master,Cloud Architecture,9000
IBM Maroc,Business Intelligence,2,Bac+2,Oracle BI,7000
CGI Maroc,Chef de Projet IT,12,Ingénieur,JIRA,19000
Dell Technologies Maroc,Développeur Mobile,4,Bac+3,Ionic,8000
Capgemini Maroc,Data Scientist / IA,1,Ingénieur,Scikit-learn,19000
Dell Technologies Maroc,Chef de Projet IT,13,Ingénieur,Prince2,20000
Accenture Maroc,Ingénieur Cybersécurité,2,Bac+2,Security+,7000
Cisco Maroc,Chef de Projet IT,1,Ingénieur,MS Project,13000
Orange Business Services Maroc,Business Intelligence,3,Ingénieur,Oracle BI,10000
Tata Consultancy Services Maroc,Data Scientist / IA,10,Bac+3,Tableau,9000
PWC Digital Maroc,Data Scientist / IA,2,Master,PyTorch,17000
Lenovo Maroc,Business Intelligence,4,Master,Oracle BI,9000
Orange Business Services Maroc,Chef de Projet IT,1,Bac+3,Kanban,7000
CGI Maroc,Développeur Full Stack,5,Bac+3,React,9000
Orange Business Services Maroc,Chef de Projet IT,4,Master,Prince2,11000
CGI Maroc,DevOps Engineer,5,Bac+3,Kubernetes,9000
Cisco Maroc,DevOps Engineer,0,Ingénieur,Terraform,14000
KPMG Technology Maroc,Data Scientist / IA,0,Bac+3,TensorFlow,11000
Deloitte Digital Maroc,Développeur Mobile,5,Bac+3,Android Studio,8000
Dell Technologies Maroc,Développeur Mobile,6,Ingénieur,Swift,14000
Oracle Maroc,Architecte Solutions,6,Doctorat,API,23000
HP Maroc,DevOps Engineer,10,Ingénieur,AWS,15000
Atos Maroc,Ingénieur Réseau,6,Ingénieur,CCNP,12000
Microsoft Maroc,Architecte Solutions,2,Ingénieur,API,25000
Dell Technologies Maroc,Cloud Engineer,10,Bac+3,AWS,12000
PWC Digital Maroc,Développeur Full Stack,13,Ingénieur,Java Spring,20000
Sopra Steria Maroc,Chef de Projet IT,3,Ingénieur,Scrum,14000
HP Maroc,Architecte Solutions,9,Master,UML,14000
Orange Business Services Maroc,Développeur Mobile,5,Ingénieur,Ionic,12000
Microsoft Maroc,Chef de Projet IT,1,Bac+3,PMI,12000
Oracle Maroc,Ingénieur Réseau,14,Master,CCNP,16000
Cisco Maroc,Développeur Mobile,1,Master,Ionic,9000
Deloitte Digital Maroc,Ingénieur Réseau,11,Doctorat,CCNA,16000
PWC Digital Maroc,Cloud Engineer,12,Ingénieur,Kubernetes,21000
Orange Business Services Maroc,Développeur Mobile,4,Master,Kotlin,10000
HP Maroc,Chef de Projet IT,6,Ingénieur,MS Project,15000
Capgemini Maroc,Chef de Projet IT,12,Master,Agile,16000
Cisco Maroc,DevOps Engineer,1,Bac+3,Ansible,9000
HP Maroc,Business Intelligence,13,Master,SAP BO,12000
Dell Technologies Maroc,Architecte Solutions,3,Bac+2,Microservices,6000
EY Digital Maroc,Ingénieur Cybersécurité,0,Ingénieur,CISSP,15000
Cisco Maroc,Ingénieur Cybersécurité,7,Ingénieur,SIEM,19000
SAP Maroc,Data Scientist / IA,3,Ingénieur,TensorFlow,21000
Huawei Maroc,Architecte Solutions,1,Master,UML,11000
Atos Maroc,Ingénieur Réseau,4,Bac+3,CCNP,6000
Capgemini Maroc,DevOps Engineer,7,Ingénieur,Terraform,16000
Deloitte Digital Maroc,Architecte Solutions,4,Bac+3,Enterprise Architecture,10000
Tata Consultancy Services Maroc,Chef de Projet IT,13,Ingénieur,PMI,14000
Sopra Steria Maroc,Chef de Projet IT,7,Ingénieur,MS Project,15000
EY Digital Maroc,Data Scientist / IA,6,Ingénieur,TensorFlow,23000
Accenture Maroc,Cloud Engineer,7,Master,AWS,18000
Capgemini Maroc,Architecte Solutions,4,Master,API,15000
Atos Maroc,Business Intelligence,5,Master,Oracle BI,10000
KPMG Technology Maroc,Business Intelligence,6,Doctorat,SQL Server,18000
Huawei Maroc,Chef de Projet IT,9,Master,PMI,13000
Cisco Maroc,Cloud Engineer,7,Ingénieur,Terraform,19000
IBM Maroc,DevOps Engineer,5,Bac+3,Terraform,12000
Atos Maroc,Chef de Projet IT,10,Ingénieur,Scrum,16000
Capgemini Maroc,Data Scientist / IA,12,Doctorat,Scikit-learn,22000
Cisco Maroc,DevOps Engineer,4,Ingénieur,GitLab CI/CD,16000
PWC Digital Maroc,Cloud Engineer,10,Bac+3,Terraform,13000
Deloitte Digital Maroc,Ingénieur Réseau,2,Bac+3,SD-WAN,8000
PWC Digital Maroc,DevOps Engineer,10,Bac+3,Kubernetes,12000
Microsoft Maroc,Data Scientist / IA,15,Master,Scikit-learn,28000
Dell Technologies Maroc,Chef de Projet IT,0,Ingénieur,PMI,12000
KPMG Technology Maroc,Architecte Solutions,2,Bac+3,API,10000
Orange Business Services Maroc,Architecte Solutions,1,Bac+3,Microservices,8000
PWC Digital Maroc,Cloud Engineer,0,Ingénieur,Google Cloud,18000
EY Digital Maroc,Cloud Engineer,9,Ingénieur,Terraform,19000
Atos Maroc,Ingénieur Réseau,10,Doctorat,CCNP,13000
Accenture Maroc,Business Intelligence,8,Ingénieur,Tableau,19000
Huawei Maroc,Développeur Mobile,4,Ingénieur,Swift,11000
Accenture Maroc,Business Intelligence,9,Bac+3,Tableau,11000
CGI Maroc,DevOps Engineer,12,Master,Ansible,15000
Dell Technologies Maroc,Ingénieur Réseau,8,Ingénieur,SD-WAN,13000
HP Maroc,DevOps Engineer,13,Master,AWS,13000
Accenture Maroc,Ingénieur Réseau,10,Doctorat,SD-WAN,18000
Tata Consultancy Services Maroc,Développeur Mobile,6,Ingénieur,Ionic,12000
Cisco Maroc,Business Intelligence,1,Bac+2,Talend,5000
KPMG Technology Maroc,Développeur Full Stack,7,Doctorat,.NET Core,18000
IBM Maroc,Chef de Projet IT,4,Bac+2,Scrum,8000
IBM Maroc,Développeur Mobile,6,Master,Swift,14000
Deloitte Digital Maroc,Architecte Solutions,1,Bac+3,API,10000
CGI Maroc,Développeur Mobile,12,Ingénieur,Android Studio,13000
EY Digital Maroc,DevOps Engineer,13,Master,Kubernetes,18000
Orange Business Services Maroc,DevOps Engineer,1,Bac+3,Docker,6000
Deloitte Digital Maroc,Ingénieur Cybersécurité,15,Ingénieur,Ethical Hacking,24000
EY Digital Maroc,Développeur Full Stack,5,Bac+3,.NET Core,10000
IBM Maroc,Ingénieur Réseau,9,Master,Fortinet,15000
Cisco Maroc,Développeur Mobile,0,Bac+3,Xamarin,7000
Dell Technologies Maroc,Architecte Solutions,5,Doctorat,Cloud Architecture,18000
PWC Digital Maroc,Ingénieur Réseau,9,Doctorat,CCNP,18000
Lenovo Maroc,Ingénieur Cybersécurité,13,Ingénieur,Ethical Hacking,18000
Tata Consultancy Services Maroc,Architecte Solutions,4,Bac+3,Cloud Architecture,7000
Atos Maroc,Cloud Engineer,10,Ingénieur,Google Cloud,19000
CGI Maroc,Architecte Solutions,7,Ingénieur,API,18000
Oracle Maroc,DevOps Engineer,10,Ingénieur,Docker,23000
Orange Business Services Maroc,Data Scientist / IA,3,Master,Python,13000
PWC Digital Maroc,Data Scientist / IA,1,Bac+2,Scikit-learn,8000
HP Maroc,Cloud Engineer,5,Bac+3,Terraform,8000
Sopra Steria Maroc,Développeur Mobile,12,Doctorat,Kotlin,19000
KPMG Technology Maroc,Cloud Engineer,5,Doctorat,Docker,20000
EY Digital Maroc,Architecte Solutions,7,Ingénieur,Enterprise Architecture,20000
CGI Maroc,Ingénieur Réseau,4,Master,CCNA,9000
Oracle Maroc,Cloud Engineer,1,Bac+3,OpenStack,12000
Deloitte Digital Maroc,Ingénieur Réseau,3,Ingénieur,Fortinet,13000
Capgemini Maroc,Chef de Projet IT,7,Doctorat,MS Project,18000
Microsoft Maroc,Business Intelligence,11,Master,SQL Server,20000
PWC Digital Maroc,Architecte Solutions,13,Master,Enterprise Architecture,21000
Cisco Maroc,Business Intelligence,0,Bac+3,QlikView,6000
Lenovo Maroc,Architecte Solutions,7,Master,Microservices,12000
KPMG Technology Maroc,Développeur Full Stack,0,Bac+3,Angular,9000
Capgemini Maroc,DevOps Engineer,0,Bac+3,Jenkins,8000
Deloitte Digital Maroc,Développeur Mobile,4,Master,Ionic,13000
Oracle Maroc,Développeur Full Stack,3,Bac+3,Node.js,11000
Cisco Maroc,Business Intelligence,11,Doctorat,SAP BO,16000
Lenovo Maroc,DevOps Engineer,8,Master,Ansible,13000
PWC Digital Maroc,DevOps Engineer,6,Doctorat,Kubernetes,21000
